variant,country_standard,locality_standard,locality_remarks
Adelie Land,NA (multiple),Antarctica,
Aegean Sea,NA (multiple),,
Amsterdam Islands,France,Sub-Antarctic Territories,
Andaman and Nicobar Islands,India,Andaman and Nicobar Islands,
Antigua and Barbados,Antigua and Barbuda,,
Antilles,NA (multiple),Antilles,
Arkansas,United States,,
Ascencion,United Kingdom,Ascension Island,OT
Ascension,United Kingdom,Ascension Island,OT
Ascension Island,United Kingdom,Ascension Island,OT
Ascension Islands,Canada,Ascension Islands,OT
Asia,NA (multiple),,
Auckland,New Zealand,,
Azores,Portugal,Azores,
Balearic Islands,Spain,Balearic Islands,
"Belgium, France, Netherlands, UK",NA (multiple),,
Black Sea,NA (multiple),,
Bonaire,Netherlands,Bonaire,
Borneo,Malaysia,,
British Columbia,Canada,,
Brunt Ice Shelf,NA (multiple),Antarctica,
California,United States,,
CANADA New Brunswick,Canada,,
Canada New Brunswick,Canada,,
Canary Is,Spain,Canary Islands,
Canary Islands,Spain,Canary Islands,
Caucasus,NA (multiple),,
Central America and the Caribbean,NA (multiple),,
Central America/ Carribean,NA (multiple),,
Central South Antarctic Peninsula,NA (multiple),,
Chagos Archipelago,United Kingdom,Chagos Archipelago,
China (Inner Mongolia),China,,
China (Tibet),China,,
Clipperton,France,Clipperton Island,
Clipperton Island,France,Clipperton Island,
Corse,France,Corsica,
Corse (Corsica),France,Corsica,
Corsica,France,Corsica,
Crete,Greece,,
Crozet,France,Sub-Antarctic Territories,
Crozet Island Group,France,Sub-Antarctic Territories,
DE,Germany,,
Dronning Maud Land,NA (multiple),Antarctica,
East Antarctic Ice Sheet,NA (multiple),Antarctica,
Easter Island,Chile,Easter Island,
Ellsworth Mountains,NA (multiple),Antarctica,
Enderby Land,NA (multiple),Antarctica,
Enderby Sector,NA (multiple),Antarctica,
Europe,NA (multiple),,
Fernando de Noronha,Brazil,,
Filchner Ice Shelf,NA (multiple),Antarctica,
Florida,United States,,
"France, Italy, Spain",NA (multiple),,
French West Indies,France,,OT
FS Mikronesia,NA (multiple),,
FYRM,North Macedonia,,
Galapagos,Ecuador,Galapagos,
Galapagos Islands,Ecuador,,
Germany and France,NA (multiple),,
Hawaaiian Islands,United States,,
Hawaiian Islands,United States,Hawaii,
Hawiian Islands,United States,,
Hon Kong,Hong Kong SAR China,,
Iles subantarctiques,France,,
India and Pakistan,NA (multiple),,
Italy and Germany,NA (multiple),,
"Italy, Hungary, Spain",NA (multiple),,
Java,Indonesia,,
Kerguelen,France,Sub-Antarctic Territories,
Kerguelen Island,France,Sub-Antarctic Territories,
Kerguelen Islands,France,Sub-Antarctic Territories,
Kermadec Islands,New Zealand,Sub-Antarctic Territories,
KZN,Kazakstan,,
Larsen Ice Shelf,NA (multiple),Antarctica,
Lord Howe Island,Australia,,
Macaronesia,NA (multiple),,
Macquarie,Australia,Sub-Antarctic Territories,
Madeira,Portugal,Madeira,
Malesia (Borneo),Malaysia,,
Malesia (Java),Indonesia,,
Malesia (Lesser Sunda Islands),Malaysia,,
Malesia (Maluku),Malaysia,,
Malesia (NA),Malaysia,,
Malesia (Sulawesi),Indonesia,,
Malesia (Sumatra),Malaysia,,
Marie Byrd Land,NA (multiple),Antarctica,
Marion Island,South Africa,Sub-Antarctic Territories,
Mediterranean,NA (multiple),,
Micronesia,NA (multiple),,
Midway Islands,United States,,
Mikronesia,NA (multiple),,
Moicronesia,NA (multiple),,
New Amsterdam and St Paul,France,Sub-Antarctic Territories,
North Victoria Land,NA (multiple),Antarctica,
North-east Antarctic Peninsula,NA (multiple),Antarctica,
North-west Antarctic Peninsula,NA (multiple),Antarctica,
Northern Europe,NA (multiple),,
Norway (Svalbard),Norway,Antarctica,
NZ North Island,New Zealand,,
NZ South Island,New Zealand,,
Ogasawara Islands,Japan,,
Pacific island,NA (multiple),,
Phoenix Islands,Kiribati,,
Prince Charles Mountains,NA (multiple),Antarctica,
Prince Edward Island,Canada,,
Prince Edward Islands,South Africa,Sub-Antarctic Territories,
Quebec,Canada,,
Rep S Africa,South Africa,,
Rodriguez Island,Mauritius,,
Ross Ice Shelf,NA (multiple),Antarctica,
RSA,South Africa,,
"Russia (Caucasus), Romania, Armenia, Azerbaijan",NA (multiple),,
Ryukyu Islands,Japan,,
Saint Paul,France,,
Schweiz,Switzerland,,
Scott Sector,NA (multiple),Antarctica,
Sicilia,Italy,,
Sicilia (Sicily),Italy,,
Sicily,Italy,Sicily,
Snares,New Zealand,Sub-Antarctic Territories,
Socotra Island,Yemen,,
South Antarctic Peninsula,NA (multiple),Antarctica,
South Victoria Land,NA (multiple),Antarctica,
Southern Europe,NA (multiple),,
Sulawesi,Indonesia,,
Tasmania,Australia,,
Terres australes et antarctiques françaises,France,,
Terres australes et antarctiques fran�aises  - Iles Eparses,France,,
Texas,United States,,
Transantarctic Mountains,NA (multiple),Antarctica,
Tristan da Cunha,United Kingdom,Sub-Antarctic Territories,
Tristan group,United Kingdom,Sub-Antarctic Territories,
Tropical  S America,NA (multiple),,
Tropical S America,NA (multiple),,
tropical South America,NA (multiple),,
Tropics of Southeast Asia ,NA (multiple),,
"USA, Australia or New Zealand",NA (multiple),,
Wales,United Kingdom,,
Wilkes Sector,NA (multiple),Antarctica,
Yugoslavia (Serbia and Montenegro),NA (multiple),,
